** File generated by WinEP - 6/30/2020 (8:32a) **

Time    	Vx      
0.000000	-0.000000
0.025000	0.028951
0.050000	0.104714
0.075000	0.213955
0.100000	0.361729
0.125000	0.544926
0.150000	0.762271
0.175000	1.009844
0.200000	1.284056
0.225000	1.581030
0.250000	1.896510
0.275000	2.227042
0.300000	2.569803
0.325000	2.922421
0.350000	3.282676
0.375000	3.648744
0.400000	4.019308
0.425000	4.393173
0.450000	4.769342
0.475000	5.147107
0.500000	5.525792
0.525000	5.904960
0.550000	6.284168
0.575000	6.663194
0.600000	7.041772
0.625000	7.419816
0.650000	7.797172
0.675000	8.173829
0.700000	8.549688
0.725000	8.924773
0.750000	9.299011
0.775000	9.672443
0.800000	10.045010
0.825000	10.416761
0.850000	10.787645
0.875000	11.157715
0.900000	11.526916
0.925000	11.895298
0.950000	12.262801
0.975000	12.629470
1.000000	12.995239
1.025000	13.360147
1.050000	13.724121
1.075000	14.087196
1.100000	14.449303
1.125000	14.810472
1.150000	15.170637
1.175000	15.529832
1.200000	15.887989
1.225000	16.245144
1.250000	16.601229
1.275000	16.956282
1.300000	17.310236
1.325000	17.663128
1.350000	18.014893
1.375000	18.365568
1.400000	18.715090
1.425000	19.063494
1.450000	19.410721
1.475000	19.756777
1.500000	20.101624
1.525000	20.445301
1.550000	20.787748
1.575000	21.129011
1.600000	21.469040
1.625000	21.807892
1.650000	22.145535
1.675000	22.482037
1.700000	22.817375
1.725000	23.151632
1.750000	23.484798
1.775000	23.816965
1.800000	24.148119
1.825000	24.478334
1.850000	24.807577
1.875000	25.135900
1.900000	25.463255
1.925000	25.789675
1.950000	26.115093
1.975000	26.439526
2.000000	26.762890
2.025000	27.085199
2.050000	27.406378
2.075000	27.726448
2.100000	28.045347
2.125000	28.363108
2.150000	28.679678
2.175000	28.995106
2.200000	29.309351
2.225000	29.622467
2.250000	29.934427
2.275000	30.245296
2.300000	30.555052
2.325000	30.863750
2.350000	31.171362
2.375000	31.477934
2.400000	31.783428
2.425000	32.087887
2.450000	32.391258
2.475000	32.693577
2.500000	32.994785
2.525000	33.294910
2.550000	33.593895
2.575000	33.891758
2.600000	34.188454
2.625000	34.484016
2.650000	34.778397
2.675000	35.071648
2.700000	35.363731
2.725000	35.654709
2.750000	35.944553
2.775000	36.233330
2.800000	36.521027
2.825000	36.807716
2.850000	37.093388
2.875000	37.378113
2.900000	37.661873
2.925000	37.944736
2.950000	38.226681
2.975000	38.507759
3.000000	38.787945
3.025000	39.067287
3.050000	39.345753
3.075000	39.623390
3.100000	39.900154
3.125000	40.176086
3.150000	40.451149
3.175000	40.725376
3.200000	40.998722
3.225000	41.271229
3.250000	41.542850
3.275000	41.813622
3.300000	42.083504
3.325000	42.352531
3.350000	42.620659
3.375000	42.887932
3.400000	43.154301
3.425000	43.419807
3.450000	43.684410
3.475000	43.948151
3.500000	44.210987
3.525000	44.472965
3.550000	44.734051
3.575000	44.994282
3.600000	45.253639
3.625000	45.512161
3.650000	45.769821
3.675000	46.026672
3.700000	46.282688
3.725000	46.537918
3.750000	46.792343
3.775000	47.046009
3.800000	47.298901
3.825000	47.551067
3.850000	47.802490
3.875000	48.053223
3.900000	48.303249
3.925000	48.552612
3.950000	48.801296
3.975000	49.049351
4.000000	49.296757
4.025000	49.543556
4.050000	49.789734
4.075000	50.035339
4.100000	50.280342
4.125000	50.524796
4.150000	50.768681
4.175000	51.012035
4.200000	51.254845
4.225000	51.497154
4.250000	51.738941
4.275000	51.980247
4.300000	52.221054
4.325000	52.461403
4.350000	52.701275
4.375000	52.940712
4.400000	53.179691
4.425000	53.418255
4.450000	53.656380
4.475000	53.894104
4.500000	54.131409
4.525000	54.368332
4.550000	54.604847
4.575000	54.840992
4.600000	55.076744
4.625000	55.312145
4.650000	55.547161
4.675000	55.781837
4.700000	56.016144
4.725000	56.250118
4.750000	56.483730
4.775000	56.717026
4.800000	56.949966
4.825000	57.182594
4.850000	57.414871
4.875000	57.646786
4.900000	57.878262
4.925000	58.109299
4.950000	58.339836
4.975000	58.569881
5.000000	58.799393
5.025000	59.028397
5.050000	59.256851
5.075000	59.484795
5.100000	59.712200
5.125000	59.939098
5.150000	60.165462
5.175000	60.391331
5.200000	60.616669
5.225000	60.841518
5.250000	61.065842
5.275000	61.289677
5.300000	61.512993
5.325000	61.735821
5.350000	61.958130
5.375000	62.179951
5.400000	62.401249
5.425000	62.622063
5.450000	62.842354
5.475000	63.062157
5.500000	63.281445
5.525000	63.500244
5.550000	63.718533
5.575000	63.936344
5.600000	64.153656
5.625000	64.370506
5.650000	64.586868
5.675000	64.802795
5.700000	65.018257
5.725000	65.233299
5.750000	65.447906
5.775000	65.662117
5.800000	65.875916
5.825000	66.089348
5.850000	66.302399
5.875000	66.515106
5.900000	66.727463
5.925000	66.939514
5.950000	67.151237
5.975000	67.362686
6.000000	67.573830
6.025000	67.784714
6.050000	67.995308
6.075000	68.205650
6.100000	68.415703
6.125000	68.625496
6.150000	68.834999
6.175000	69.044235
6.200000	69.253166
6.225000	69.461807
6.250000	69.670128
6.275000	69.878143
6.300000	70.085831
6.325000	70.293205
6.350000	70.500229
6.375000	70.706940
6.400000	70.913300
6.425000	71.119347
6.450000	71.325043
6.475000	71.530411
6.500000	71.735443
6.525000	71.940155
6.550000	72.144524
6.575000	72.348579
6.600000	72.552299
6.625000	72.755707
6.650000	72.958786
6.675000	73.161568
6.700000	73.364014
6.725000	73.566154
6.750000	73.767952
6.775000	73.969376
6.800000	74.170349
6.825000	74.370880
6.850000	74.570900
6.875000	74.770416
6.900000	74.969391
6.925000	75.167839
6.950000	75.365738
6.975000	75.563103
7.000000	75.759903
7.025000	75.956177
7.050000	76.151894
7.075000	76.347084
7.100000	76.541733
7.125000	76.735863
7.150000	76.929459
7.175000	77.122566
7.200000	77.315147
7.225000	77.507263
7.250000	77.698875
7.275000	77.890045
7.300000	78.080750
7.325000	78.271042
7.350000	78.460884
7.375000	78.650337
7.400000	78.839394
7.425000	79.028099
7.450000	79.216446
7.475000	79.404472
7.500000	79.592178
7.525000	79.779602
7.550000	79.966728
7.575000	80.153587
7.600000	80.340172
7.625000	80.526505
7.650000	80.712563
7.675000	80.898376
7.700000	81.083916
7.725000	81.269211
7.750000	81.454231
7.775000	81.639000
7.800000	81.823486
7.825000	82.007713
7.850000	82.191650
7.875000	82.375313
7.900000	82.558662
7.925000	82.741730
7.950000	82.924477
7.975000	83.106934
8.000000	83.289047
8.025001	83.470863
8.050000	83.652336
8.075000	83.833496
8.100000	84.014320
8.125000	84.194832
8.150001	84.375008
8.175000	84.554878
8.200000	84.734413
8.225000	84.913643
8.250000	85.092537
8.275001	85.271141
8.300000	85.449425
8.325000	85.627426
8.350000	85.805107
8.375000	85.982513
8.400001	86.159622
8.425000	86.336456
8.450000	86.513008
8.475000	86.689308
8.500000	86.865326
8.525001	87.041107
8.550000	87.216629
8.575000	87.391930
8.600000	87.566971
8.625000	87.741798
8.650001	87.916389
8.675000	88.090790
8.700000	88.265007
8.725000	88.439095
8.750000	88.613045
8.775001	88.786903
8.800000	88.960648
8.825000	89.134308
8.850000	89.307854
