** File generated by WinEP - 8/26/2020 (10:59p) **

Time    	Vx      
0.000000	119.999695
0.025000	119.910194
0.050000	119.645653
0.075000	119.272079
0.100000	118.827362
0.125000	118.331612
0.150000	117.796288
0.175000	117.232727
0.200000	116.648880
0.225000	116.052803
0.250000	115.448486
0.275000	114.839493
0.300000	114.228523
0.325000	113.616966
0.350000	113.005371
0.375000	112.394012
0.400000	111.782974
0.425000	111.172371
0.450000	110.562347
0.475000	109.952881
0.500000	109.343857
0.525000	108.735161
0.550000	108.126663
0.575000	107.518311
0.600000	106.910072
0.625000	106.301987
0.650000	105.694107
0.675000	105.086502
0.700000	104.479233
0.725000	103.872353
0.750000	103.265862
0.775000	102.659760
0.800000	102.054031
0.825000	101.448669
0.850000	100.843651
0.875000	100.238983
0.900000	99.634636
0.925000	99.030647
0.950000	98.426971
0.975000	97.823647
1.000000	97.220642
1.025000	96.617973
1.050000	96.015633
1.075000	95.413620
1.100000	94.811935
1.125000	94.210579
1.150000	93.609535
1.175000	93.008827
1.200000	92.408432
1.225000	91.808372
1.250000	91.208618
1.275000	90.609192
1.300000	90.010078
1.325000	89.411285
1.350000	88.812805
1.375000	88.214638
1.400000	87.616783
1.425000	87.019241
1.450000	86.422005
1.475000	85.825081
1.500000	85.228455
1.525000	84.632141
1.550000	84.036133
1.575000	83.440430
1.600000	82.845016
1.625000	82.249916
1.650000	81.655106
1.675000	81.060600
1.700000	80.466385
1.725000	79.872475
1.750000	79.278854
1.775000	78.685532
1.800000	78.092491
1.825000	77.499748
1.850000	76.907295
1.875000	76.315132
1.900000	75.723251
1.925000	75.131660
1.950000	74.540359
1.975000	73.949341
2.000000	73.358604
2.025000	72.768158
2.050000	72.177986
2.075000	71.588104
2.100000	70.998489
2.125000	70.409164
2.150000	69.820114
2.175000	69.231339
2.200000	68.642830
2.225000	68.054604
2.250000	67.466644
2.275000	66.878960
2.300000	66.291542
2.325000	65.704399
2.350000	65.117508
2.375000	64.530899
2.400000	63.944546
2.425000	63.358471
2.450000	62.772659
2.475000	62.187130
2.500000	61.601868
2.525000	61.016891
2.550000	60.432182
2.575000	59.847759
2.600000	59.263599
2.625000	58.679726
2.650000	58.096111
2.675000	57.512779
2.700000	56.929707
2.725000	56.346912
2.750000	55.764374
2.775000	55.182110
2.800000	54.600098
2.825000	54.018360
2.850000	53.436874
2.875000	52.855656
2.900000	52.274685
2.925000	51.693981
2.950000	51.113522
2.975000	50.533329
3.000000	49.953384
3.025000	49.373707
3.050000	48.794281
3.075000	48.215118
3.100000	47.636204
3.125000	47.057556
3.150000	46.479153
3.175000	45.901012
3.200000	45.323116
3.225000	44.745480
3.250000	44.168079
3.275000	43.590939
3.300000	43.014030
3.325000	42.437382
3.350000	41.860962
3.375000	41.284790
3.400000	40.708851
3.425000	40.133156
3.450000	39.557686
3.475000	38.982460
3.500000	38.407455
3.525000	37.832764
3.550000	37.258511
3.575000	36.684841
3.600000	36.111801
3.625000	35.539398
3.650000	34.967495
3.675000	34.395859
3.700000	33.824543
3.725000	33.253967
3.750000	32.684395
3.775000	32.116016
3.800000	31.548908
3.825000	30.983139
3.850000	30.418703
3.875000	29.855621
3.900000	29.293863
3.925000	28.733393
3.950000	28.174093
3.975000	27.615875
4.000000	27.058685
4.025000	26.502586
4.050000	25.947489
4.075000	25.393320
4.100000	24.840061
4.125000	24.287689
4.150000	23.736212
4.175000	23.185753
4.200000	22.636276
4.225000	22.087761
4.250000	21.540100
4.275000	20.993298
4.300000	20.447357
4.325000	19.902264
4.350000	19.357939
4.375000	18.814354
4.400000	18.271435
4.425000	17.729155
4.450000	17.187445
4.475000	16.646299
4.500000	16.105679
4.525000	15.565601
4.550000	15.026040
4.575000	14.486989
4.600000	13.948380
4.625000	13.410198
4.650000	12.872398
4.675000	12.335026
4.700000	11.798124
4.725000	11.261781
4.750000	10.725971
4.775000	10.190683
4.800000	9.655895
4.825000	9.121665
4.850000	8.587957
4.875000	8.054729
4.900000	7.521935
4.925000	6.989664
4.950000	6.457944
4.975000	5.926796
5.000000	5.396159
5.025000	4.866018
5.050000	4.336308
5.075000	3.807021
5.100000	3.278108
5.125000	2.749609
5.150000	2.221550
5.175000	1.694040
5.200000	1.167128
5.225000	0.640828
5.250000	0.114934
5.275000	-0.190609
5.300000	-0.196760
5.325000	-0.161709
5.350000	-0.178439
5.375000	-0.197055
5.400000	-0.150774
5.425000	-0.065693
5.450000	-0.005679
5.475000	0.007075
5.500000	0.000405
5.525000	0.000510
5.550000	0.002508
5.575000	-0.007646
5.600000	-0.026065
5.625000	-0.036106
5.650000	-0.030927
5.675000	-0.019558
5.700000	-0.012818
5.725000	-0.011610
5.750000	-0.010611
5.775000	-0.007867
5.800000	-0.006174
5.825000	-0.007557
5.850000	-0.010081
5.875000	-0.010779
5.900000	-0.009332
5.925000	-0.007612
5.950000	-0.006884
5.975000	-0.006637
6.000000	-0.006006
6.025000	-0.005077
6.050000	-0.004535
6.075000	-0.004550
6.100000	-0.004632
6.125000	-0.004391
6.150000	-0.003914
6.175000	-0.003534
6.200000	-0.003333
6.225000	-0.003159
6.250000	-0.002892
6.275000	-0.002596
6.300000	-0.002409
6.325000	-0.002294
6.350000	-0.002183
6.375000	-0.002012
6.400000	-0.001835
6.425000	-0.001705
6.450000	-0.001597
6.475000	-0.001486
6.500000	-0.001365
6.525000	-0.001261
6.550000	-0.001170
6.575000	-0.001103
6.600000	-0.001022
6.625000	-0.000949
6.650000	-0.000871
6.675000	-0.000815
6.700000	-0.000755
6.725000	-0.000700
6.750000	-0.000653
6.775000	-0.000602
6.800000	-0.000567
6.825000	-0.000525
6.850000	-0.000485
6.875000	-0.000444
6.900000	-0.000417
6.925000	-0.000394
6.950000	-0.000360
6.975000	-0.000340
7.000000	-0.000310
7.025000	-0.000293
7.050000	-0.000268
7.075000	-0.000247
7.100000	-0.000235
7.125000	-0.000215
7.150000	-0.000197
7.175000	-0.000180
7.200000	-0.000173
7.225000	-0.000156
7.250000	-0.000150
7.275000	-0.000133
7.300000	-0.000129
7.325000	-0.000114
7.350000	-0.000112
7.375000	-0.000099
7.400000	-0.000090
7.425000	-0.000089
7.450000	-0.000080
7.475000	-0.000080
7.500000	-0.000071
7.525000	-0.000064
7.550000	-0.000054
7.575000	-0.000056
7.600000	-0.000058
7.625000	-0.000048
7.650000	-0.000050
7.675000	-0.000041
7.700000	-0.000044
7.725000	-0.000037
7.750000	-0.000032
7.775000	-0.000036
7.800000	-0.000030
7.825000	-0.000025
7.850000	-0.000021
7.875000	-0.000025
7.900000	-0.000018
7.925000	-0.000023
7.950000	-0.000015
7.975000	-0.000020
8.000000	-0.000013

Time    	VxTarget
0.000000	120.000000
0.025000	120.000000
0.050000	120.000000
0.075000	120.000000
0.100000	120.000000
0.125000	120.000000
0.150000	120.000000
0.175000	120.000000
0.200000	120.000000
0.225000	120.000000
0.250000	120.000000
0.275000	120.000000
0.300000	120.000000
0.325000	120.000000
0.350000	120.000000
0.375000	120.000000
0.400000	120.000000
0.425000	120.000000
0.450000	120.000000
0.475000	120.000000
0.500000	120.000000
0.525000	120.000000
0.550000	120.000000
0.575000	120.000000
0.600000	120.000000
0.625000	120.000000
0.650000	120.000000
0.675000	120.000000
0.700000	120.000000
0.725000	120.000000
0.750000	120.000000
0.775000	120.000000
0.800000	120.000000
0.825000	120.000000
0.850000	120.000000
0.875000	120.000000
0.900000	120.000000
0.925000	120.000000
0.950000	120.000000
0.975000	120.000000
1.000000	120.000000
1.025000	120.000000
1.050000	120.000000
1.075000	120.000000
1.100000	120.000000
1.125000	120.000000
1.150000	120.000000
1.175000	120.000000
1.200000	120.000000
1.225000	120.000000
1.250000	120.000000
1.275000	120.000000
1.300000	120.000000
1.325000	120.000000
1.350000	120.000000
1.375000	120.000000
1.400000	120.000000
1.425000	120.000000
1.450000	120.000000
1.475000	120.000000
1.500000	120.000000
1.525000	120.000000
1.550000	120.000000
1.575000	120.000000
1.600000	120.000000
1.625000	120.000000
1.650000	120.000000
1.675000	120.000000
1.700000	120.000000
1.725000	120.000000
1.750000	120.000000
1.775000	120.000000
1.800000	120.000000
1.825000	120.000000
1.850000	120.000000
1.875000	120.000000
1.900000	120.000000
1.925000	120.000000
1.950000	120.000000
1.975000	120.000000
2.000000	120.000000
2.025000	120.000000
2.050000	120.000000
2.075000	120.000000
2.100000	120.000000
2.125000	120.000000
2.150000	120.000000
2.175000	120.000000
2.200000	120.000000
2.225000	120.000000
2.250000	120.000000
2.275000	120.000000
2.300000	120.000000
2.325000	120.000000
2.350000	120.000000
2.375000	120.000000
2.400000	120.000000
2.425000	120.000000
2.450000	120.000000
2.475000	120.000000
2.500000	120.000000
2.525000	120.000000
2.550000	120.000000
2.575000	120.000000
2.600000	120.000000
2.625000	120.000000
2.650000	120.000000
2.675000	120.000000
2.700000	120.000000
2.725000	120.000000
2.750000	120.000000
2.775000	120.000000
2.800000	120.000000
2.825000	120.000000
2.850000	120.000000
2.875000	120.000000
2.900000	120.000000
2.925000	120.000000
2.950000	120.000000
2.975000	120.000000
3.000000	120.000000
3.025000	120.000000
3.050000	120.000000
3.075000	120.000000
3.100000	120.000000
3.125000	120.000000
3.150000	120.000000
3.175000	120.000000
3.200000	120.000000
3.225000	120.000000
3.250000	120.000000
3.275000	120.000000
3.300000	120.000000
3.325000	120.000000
3.350000	120.000000
3.375000	120.000000
3.400000	120.000000
3.425000	120.000000
3.450000	120.000000
3.475000	120.000000
3.500000	120.000000
3.525000	120.000000
3.550000	120.000000
3.575000	120.000000
3.600000	120.000000
3.625000	120.000000
3.650000	120.000000
3.675000	120.000000
3.700000	120.000000
3.725000	120.000000
3.750000	120.000000
3.775000	120.000000
3.800000	120.000000
3.825000	120.000000
3.850000	120.000000
3.875000	120.000000
3.900000	120.000000
3.925000	120.000000
3.950000	120.000000
3.975000	120.000000
4.000000	120.000000
4.025000	120.000000
4.050000	120.000000
4.075000	120.000000
4.100000	120.000000
4.125000	120.000000
4.150000	120.000000
4.175000	120.000000
4.200000	120.000000
4.225000	120.000000
4.250000	120.000000
4.275000	120.000000
4.300000	120.000000
4.325000	120.000000
4.350000	120.000000
4.375000	120.000000
4.400000	120.000000
4.425000	120.000000
4.450000	120.000000
4.475000	120.000000
4.500000	120.000000
4.525000	120.000000
4.550000	120.000000
4.575000	120.000000
4.600000	120.000000
4.625000	120.000000
4.650000	120.000000
4.675000	120.000000
4.700000	120.000000
4.725000	120.000000
4.750000	120.000000
4.775000	120.000000
4.800000	120.000000
4.825000	120.000000
4.850000	120.000000
4.875000	120.000000
4.900000	120.000000
4.925000	120.000000
4.950000	120.000000
4.975000	120.000000
5.000000	120.000000
5.025000	120.000000
5.050000	120.000000
5.075000	120.000000
5.100000	120.000000
5.125000	120.000000
5.150000	120.000000
5.175000	120.000000
5.200000	120.000000
5.225000	120.000000
5.250000	120.000000
5.275000	120.000000
5.300000	120.000000
5.325000	120.000000
5.350000	120.000000
5.375000	120.000000
5.400000	120.000000
5.425000	120.000000
5.450000	120.000000
5.475000	120.000000
5.500000	120.000000
5.525000	120.000000
5.550000	120.000000
5.575000	120.000000
5.600000	120.000000
5.625000	120.000000
5.650000	120.000000
5.675000	120.000000
5.700000	120.000000
5.725000	120.000000
5.750000	120.000000
5.775000	120.000000
5.800000	120.000000
5.825000	120.000000
5.850000	120.000000
5.875000	120.000000
5.900000	120.000000
5.925000	120.000000
5.950000	120.000000
5.975000	120.000000
6.000000	120.000000
6.025000	120.000000
6.050000	120.000000
6.075000	120.000000
6.100000	120.000000
6.125000	120.000000
6.150000	120.000000
6.175000	120.000000
6.200000	120.000000
6.225000	120.000000
6.250000	120.000000
6.275000	120.000000
6.300000	120.000000
6.325000	120.000000
6.350000	120.000000
6.375000	120.000000
6.400000	120.000000
6.425000	120.000000
6.450000	120.000000
6.475000	120.000000
6.500000	120.000000
6.525000	120.000000
6.550000	120.000000
6.575000	120.000000
6.600000	120.000000
6.625000	120.000000
6.650000	120.000000
6.675000	120.000000
6.700000	120.000000
6.725000	120.000000
6.750000	120.000000
6.775000	120.000000
6.800000	120.000000
6.825000	120.000000
6.850000	120.000000
6.875000	120.000000
6.900000	120.000000
6.925000	120.000000
6.950000	120.000000
6.975000	120.000000
7.000000	120.000000
7.025000	120.000000
7.050000	120.000000
7.075000	120.000000
7.100000	120.000000
7.125000	120.000000
7.150000	120.000000
7.175000	120.000000
7.200000	120.000000
7.225000	120.000000
7.250000	120.000000
7.275000	120.000000
7.300000	120.000000
7.325000	120.000000
