** File generated by WinEP - 8/26/2020 (11:00p) **

Time    	Vx      
0.000000	-0.000000
0.025000	0.026077
0.050000	0.087274
0.075000	0.177493
0.100000	0.305712
0.125000	0.472539
0.150000	0.678748
0.175000	0.919761
0.200000	1.193053
0.225000	1.494659
0.250000	1.819914
0.275000	2.165140
0.300000	2.527211
0.325000	2.903228
0.350000	3.290783
0.375000	3.687727
0.400000	4.092084
0.425000	4.502295
0.450000	4.916935
0.475000	5.334944
0.500000	5.755327
0.525000	6.177384
0.550000	6.600439
0.575000	7.024074
0.600000	7.447848
0.625000	7.871543
0.650000	8.294875
0.675000	8.717748
0.700000	9.139983
0.725000	9.561563
0.750000	9.982362
0.775000	10.402393
0.800000	10.821557
0.825000	11.239882
0.850000	11.657282
0.875000	12.073794
0.900000	12.489339
0.925000	12.903956
0.950000	13.317566
0.975000	13.730205
1.000000	14.141786
1.025000	14.552341
1.050000	14.961779
1.075000	15.370133
1.100000	15.777318
1.125000	16.183367
1.150000	16.588198
1.175000	16.991848
1.200000	17.394238
1.225000	17.795403
1.250000	18.195267
1.275000	18.593866
1.300000	18.991125
1.325000	19.387085
1.350000	19.781668
1.375000	20.174917
1.400000	20.566757
1.425000	20.957230
1.450000	21.346262
1.475000	21.733896
1.500000	22.120068
1.525000	22.504829
1.550000	22.888136
1.575000	23.270058
1.600000	23.650566
1.625000	24.029751
1.650000	24.407597
1.675000	24.784212
1.700000	25.159594
1.725000	25.533838
1.750000	25.906921
1.775000	26.278908
1.800000	26.649750
1.825000	27.019489
1.850000	27.388052
1.875000	27.755453
1.900000	28.121603
1.925000	28.486506
1.950000	28.850073
1.975000	29.212328
2.000000	29.573195
2.025000	29.932713
2.050000	30.290823
2.075000	30.647581
2.100000	31.002939
2.125000	31.356970
2.150000	31.709644
2.175000	32.061039
2.200000	32.411125
2.225000	32.759968
2.250000	33.107479
2.275000	33.453762
2.300000	33.798763
2.325000	34.142525
2.350000	34.484985
2.375000	34.826176
2.400000	35.166027
2.425000	35.504566
2.450000	35.841721
2.475000	36.177536
2.500000	36.511955
2.525000	36.845028
2.550000	37.176716
2.575000	37.507084
2.600000	37.836105
2.625000	38.163860
2.650000	38.490337
2.675000	38.815620
2.700000	39.139709
2.725000	39.462688
2.750000	39.784542
2.775000	40.105347
2.800000	40.425079
2.825000	40.743813
2.850000	41.061508
2.875000	41.378227
2.900000	41.693935
2.925000	42.008682
2.950000	42.322418
2.975000	42.635197
3.000000	42.946968
3.025000	43.257771
3.050000	43.567566
3.075000	43.876389
3.100000	44.184200
3.125000	44.491035
3.150000	44.796856
3.175000	45.101700
3.200000	45.405525
3.225000	45.708378
3.250000	46.010212
3.275000	46.311077
3.300000	46.610935
3.325000	46.909832
3.350000	47.207737
3.375000	47.504704
3.400000	47.800697
3.425000	48.095783
3.450000	48.389935
3.475000	48.683208
3.500000	48.975582
3.525000	49.267120
3.550000	49.557808
3.575000	49.847702
3.600000	50.136791
3.625000	50.425137
3.650000	50.712723
3.675000	50.999615
3.700000	51.285797
3.725000	51.571335
3.750000	51.856201
3.775000	52.140461
3.800000	52.424068
3.825000	52.707047
3.850000	52.989334
3.875000	53.270962
3.900000	53.551876
3.925000	53.832123
3.950000	54.111660
3.975000	54.390533
4.000000	54.668713
4.025000	54.946251
4.050000	55.223114
4.075000	55.499363
4.100000	55.774963
4.125000	56.049973
4.150000	56.324368
4.175000	56.598194
4.200000	56.871429
4.225000	57.144119
4.250000	57.416241
4.275000	57.687840
4.300000	57.958885
4.325000	58.229427
4.350000	58.499439
4.375000	58.768959
4.400000	59.037960
4.425000	59.306488
4.450000	59.574512
4.475000	59.842075
4.500000	60.109142
4.525000	60.375763
4.550000	60.641903
4.575000	60.907600
4.600000	61.172829
4.625000	61.437626
4.650000	61.701965
4.675000	61.965881
4.700000	62.229343
4.725000	62.492393
4.750000	62.754993
4.775000	63.017193
4.800000	63.278954
4.825000	63.540314
4.850000	63.801239
4.875000	64.061775
4.900000	64.321877
4.925000	64.581581
4.950000	64.840866
4.975000	65.099762
5.000000	65.358223
5.025000	65.616302
5.050000	65.873955
5.075000	66.131226
5.100000	66.388062
5.125000	66.644516
5.150000	66.900543
5.175000	67.156181
5.200000	67.411400
5.225000	67.666237
5.250000	67.920662
5.275000	68.174721
5.300000	68.428375
5.325000	68.681686
5.350000	68.934616
5.375000	69.187218
5.400000	69.439468
5.425000	69.691414
5.450000	69.943047
5.475000	70.194405
5.500000	70.445473
5.525000	70.696297
5.550000	70.946869
5.575000	71.197205
5.600000	71.447205
5.625000	71.696838
5.650000	71.946022
5.675000	72.194763
5.700000	72.442993
5.725000	72.690750
5.750000	72.937996
5.775000	73.184753
5.800000	73.431000
5.825000	73.676765
5.850000	73.922012
5.875000	74.166771
5.900000	74.411003
5.925000	74.654724
5.950000	74.897903
5.975000	75.140564
6.000000	75.382668
6.025000	75.624245
6.050000	75.865257
6.075000	76.105743
6.100000	76.345665
6.125000	76.585068
6.150000	76.823906
6.175000	77.062225
6.200000	77.299995
6.225000	77.537254
6.250000	77.773979
6.275000	78.010193
6.300000	78.245865
6.325000	78.481041
6.350000	78.715675
6.375000	78.949799
6.400000	79.183372
6.425000	79.416435
6.450000	79.648941
6.475000	79.880913
6.500000	80.112305
6.525000	80.343163
6.550000	80.573425
6.575000	80.803131
6.600000	81.032242
6.625000	81.260796
6.650000	81.488754
6.675000	81.716164
6.700000	81.942993
6.725000	82.169289
6.750000	82.395035
6.775000	82.620270
6.800000	82.844978
6.825000	83.069221
6.850000	83.292969
6.875000	83.516289
6.900000	83.739159
6.925000	83.961647
6.950000	84.183723
6.975000	84.405464
7.000000	84.626846
7.025000	84.847923
7.050000	85.068687
7.075000	85.289192
7.100000	85.509407
7.125000	85.729378
7.150000	85.949081
7.175000	86.168625
7.200000	86.388031
7.225000	86.607407
7.250000	86.826759
7.275000	87.046165
7.300000	87.265594
7.325000	87.485077
7.350000	87.704582
7.375000	87.924133
7.400000	88.143669
7.425000	88.363205
7.450000	88.582710
7.475000	88.802193
7.500000	89.021614
7.525000	89.240990
7.550000	89.460297
7.575000	89.679558
7.600000	89.898743
7.625000	90.117874
7.650000	90.336922
7.675000	90.555923
7.700000	90.774841
7.725000	90.993706
7.750000	91.212494
7.775000	91.431236
7.800000	91.649902
7.825000	91.868523
7.850000	92.087067
