** File generated by WinEP - 8/26/2020 (11:01p) **

Time    	Vx      
0.000000	-0.000000
0.025000	0.025591
0.050000	0.076979
0.075000	0.148129
0.100000	0.250796
0.125000	0.388614
0.150000	0.564567
0.175000	0.774729
0.200000	1.016828
0.225000	1.286917
0.250000	1.580452
0.275000	1.893733
0.300000	2.223226
0.325000	2.565787
0.350000	2.918760
0.375000	3.280018
0.400000	3.647529
0.425000	4.019993
0.450000	4.396033
0.475000	4.774692
0.500000	5.155093
0.525000	5.536633
0.550000	5.918730
0.575000	6.301034
0.600000	6.683181
0.625000	7.065002
0.650000	7.446281
0.675000	7.826966
0.700000	8.206930
0.725000	8.586179
0.750000	8.964622
0.775000	9.342291
0.800000	9.719116
0.825000	10.095141
0.850000	10.470307
0.875000	10.844666
0.900000	11.218163
0.925000	11.590846
0.950000	11.962660
0.975000	12.333649
1.000000	12.703751
1.025000	13.073004
1.050000	13.441339
1.075000	13.808789
1.100000	14.175283
1.125000	14.540854
1.150000	14.905430
1.175000	15.269047
1.200000	15.631635
1.225000	15.993229
1.250000	16.353762
1.275000	16.713270
1.300000	17.071684
1.325000	17.429043
1.350000	17.785280
1.375000	18.140430
1.400000	18.494432
1.425000	18.847321
1.450000	19.199032
1.475000	19.549603
1.500000	19.898973
1.525000	20.247150
1.550000	20.594097
1.575000	20.939852
1.600000	21.284367
1.625000	21.627695
1.650000	21.969797
1.675000	22.310740
1.700000	22.650499
1.725000	22.989155
1.750000	23.326694
1.775000	23.663212
1.800000	23.998693
1.825000	24.333223
1.850000	24.666771
1.875000	24.999395
1.900000	25.331047
1.925000	25.661766
1.950000	25.991488
1.975000	26.320229
2.000000	26.647909
2.025000	26.974541
2.050000	27.300043
2.075000	27.624437
2.100000	27.947657
2.125000	28.269735
2.150000	28.590616
2.175000	28.910343
2.200000	29.228878
2.225000	29.546272
2.250000	29.862499
2.275000	30.177624
2.300000	30.491619
2.325000	30.804550
2.350000	31.116383
2.375000	31.427170
2.400000	31.736870
2.425000	32.045525
2.450000	32.353085
2.475000	32.659588
2.500000	32.964973
2.525000	33.269268
2.550000	33.572414
2.575000	33.874432
2.600000	34.175270
2.625000	34.474960
2.650000	34.773468
2.675000	35.070827
2.700000	35.367016
2.725000	35.662083
2.750000	35.956013
2.775000	36.248863
2.800000	36.540623
2.825000	36.831371
2.850000	37.121098
2.875000	37.409870
2.900000	37.697678
2.925000	37.984577
2.950000	38.270550
2.975000	38.555656
3.000000	38.839863
3.025000	39.123219
3.050000	39.405693
3.075000	39.687328
3.100000	39.968086
3.125000	40.248005
3.150000	40.527042
3.175000	40.805233
3.200000	41.082539
3.225000	41.358990
3.250000	41.634548
3.275000	41.909245
3.300000	42.183041
3.325000	42.455975
3.350000	42.727997
3.375000	42.999153
3.400000	43.269394
3.425000	43.538765
3.450000	43.807220
3.475000	44.074802
3.500000	44.341473
3.525000	44.607273
3.550000	44.872173
3.575000	45.136219
3.600000	45.399380
3.625000	45.661705
3.650000	45.923164
3.675000	46.183807
3.700000	46.443619
3.725000	46.702641
3.750000	46.960857
3.775000	47.218319
3.800000	47.475006
3.825000	47.730972
3.850000	47.986198
3.875000	48.240742
3.900000	48.494576
3.925000	48.747757
3.950000	49.000259
3.975000	49.252140
4.000000	49.503368
4.025000	49.754005
4.050000	50.004021
4.075000	50.253464
4.100000	50.502316
4.125000	50.750622
4.150000	50.998363
4.175000	51.245586
4.200000	51.492264
4.225000	51.738453
4.250000	51.984119
4.275000	52.229317
4.300000	52.474018
4.325000	52.718273
4.350000	52.962055
4.375000	53.205410
4.400000	53.448315
4.425000	53.690807
4.450000	53.932869
4.475000	54.174538
4.500000	54.415791
4.525000	54.656666
4.550000	54.897141
4.575000	55.137253
4.600000	55.376976
4.625000	55.616348
4.650000	55.855347
4.675000	56.094009
4.700000	56.332302
4.725000	56.570271
4.750000	56.807880
4.775000	57.045177
4.800000	57.282124
4.825000	57.518730
4.850000	57.754921
4.875000	57.990692
4.900000	58.225967
4.925000	58.460762
4.950000	58.695019
4.975000	58.928768
5.000000	59.161964
5.025000	59.394642
5.050000	59.626770
5.075000	59.858383
